user_id,budget,tag,place,accepted
5,low,Cultural,Manali,0
4,low,Adventure,Kerala,0
6,low,Nature,Ladakh,0
4,medium,Adventure,Rishikesh,1
5,low,Nature,Ladakh,0
6,medium,Relaxation,Ladakh,0
4,medium,Adventure,Jaipur,0
9,medium,Relaxation,Pondicherry,1
7,high,Relaxation,Rishikesh,0
8,high,Adventure,Goa,0
6,high,Cultural,Pondicherry,0
6,high,Relaxation,Ladakh,0
5,low,Adventure,Manali,0
2,high,Relaxation,Ladakh,0
6,high,Nature,Jaipur,0
1,high,Relaxation,Manali,0
10,low,Cultural,Jaipur,1
9,low,Adventure,Jaipur,0
4,medium,Adventure,Pondicherry,0
9,medium,Relaxation,Jaipur,0
9,medium,Adventure,Goa,0
2,low,Cultural,Rishikesh,0
4,high,Relaxation,Goa,1
5,high,Relaxation,Manali,0
7,low,Cultural,Manali,0
4,medium,Nature,Goa,0
7,high,Relaxation,Pondicherry,1
9,low,Relaxation,Goa,1
5,low,Nature,Kerala,1
2,medium,Nature,Goa,0
6,high,Adventure,Manali,0
4,medium,Cultural,Goa,0
2,medium,Adventure,Rishikesh,1
4,medium,Nature,Ladakh,0
10,medium,Relaxation,Manali,0
5,high,Cultural,Goa,0
2,medium,Relaxation,Jaipur,0
10,low,Nature,Goa,0
8,low,Cultural,Pondicherry,0
2,low,Relaxation,Jaipur,0
7,high,Adventure,Kerala,0
8,high,Adventure,Ladakh,1
4,high,Nature,Pondicherry,0
1,high,Cultural,Kerala,1
7,low,Cultural,Jaipur,1
2,high,Cultural,Goa,0
7,high,Relaxation,Manali,0
4,medium,Cultural,Ladakh,0
2,medium,Cultural,Rishikesh,0
2,high,Adventure,Jaipur,0
2,medium,Nature,Manali,1
8,low,Relaxation,Kerala,0
4,medium,Relaxation,Manali,0
1,low,Adventure,Ladakh,1
7,high,Cultural,Pondicherry,0
1,medium,Cultural,Jaipur,1
10,medium,Relaxation,Jaipur,0
8,low,Cultural,Rishikesh,0
5,low,Relaxation,Pondicherry,1
3,high,Cultural,Pondicherry,0
4,medium,Nature,Rishikesh,0
2,high,Cultural,Manali,0
2,high,Adventure,Kerala,0
8,low,Cultural,Manali,0
7,medium,Adventure,Goa,0
7,high,Cultural,Jaipur,1
9,high,Relaxation,Manali,0
10,low,Adventure,Ladakh,1
9,low,Relaxation,Kerala,0
9,medium,Relaxation,Rishikesh,0
5,low,Nature,Kerala,1
8,low,Nature,Jaipur,0
2,medium,Nature,Pondicherry,0
1,high,Adventure,Rishikesh,1
9,medium,Cultural,Manali,0
7,medium,Nature,Goa,0
9,low,Relaxation,Goa,1
2,high,Adventure,Rishikesh,1
5,medium,Cultural,Jaipur,1
6,low,Cultural,Kerala,1
2,low,Cultural,Pondicherry,0
2,high,Cultural,Rishikesh,0
6,low,Relaxation,Kerala,0
10,medium,Nature,Pondicherry,0
8,low,Adventure,Pondicherry,0
3,low,Cultural,Kerala,1
10,high,Relaxation,Goa,1
5,medium,Cultural,Manali,0
4,high,Relaxation,Kerala,0
3,low,Adventure,Kerala,0
7,low,Relaxation,Jaipur,0
6,medium,Relaxation,Pondicherry,1
9,high,Adventure,Rishikesh,1
3,low,Nature,Jaipur,0
10,low,Nature,Rishikesh,0
8,high,Cultural,Goa,0
8,low,Cultural,Goa,0
2,high,Adventure,Rishikesh,1
1,medium,Adventure,Rishikesh,1
2,medium,Relaxation,Ladakh,0
8,medium,Adventure,Rishikesh,1
10,high,Adventure,Kerala,0
7,medium,Adventure,Pondicherry,0
8,high,Relaxation,Kerala,0
10,high,Relaxation,Goa,1
2,high,Relaxation,Rishikesh,0
8,high,Adventure,Rishikesh,1
1,low,Relaxation,Goa,1
4,low,Cultural,Goa,0
8,low,Nature,Ladakh,0
10,low,Adventure,Jaipur,0
6,high,Adventure,Ladakh,1
1,low,Adventure,Jaipur,0
7,low,Adventure,Goa,0
2,low,Nature,Rishikesh,0
2,low,Cultural,Pondicherry,0
9,medium,Relaxation,Ladakh,0
10,low,Relaxation,Pondicherry,1
2,low,Nature,Kerala,1
10,high,Relaxation,Pondicherry,1
4,low,Nature,Kerala,1
4,medium,Adventure,Manali,0
6,medium,Cultural,Pondicherry,0
7,high,Relaxation,Goa,1
10,medium,Adventure,Rishikesh,1
4,high,Cultural,Jaipur,1
3,high,Nature,Goa,0
8,low,Nature,Manali,1
1,low,Cultural,Rishikesh,0
5,medium,Adventure,Rishikesh,1
2,high,Relaxation,Pondicherry,1
8,medium,Cultural,Ladakh,0
7,medium,Nature,Manali,1
9,low,Relaxation,Manali,0
9,medium,Cultural,Kerala,1
4,high,Relaxation,Pondicherry,1
4,low,Cultural,Manali,0
6,high,Relaxation,Manali,0
4,high,Adventure,Pondicherry,0
3,low,Relaxation,Ladakh,0
7,low,Cultural,Kerala,1
10,medium,Adventure,Jaipur,0
8,high,Nature,Pondicherry,0
5,medium,Adventure,Rishikesh,1
8,high,Adventure,Ladakh,1
7,low,Nature,Goa,0
7,medium,Adventure,Rishikesh,1
1,low,Nature,Goa,0
9,medium,Adventure,Manali,0
10,medium,Cultural,Goa,0
9,low,Nature,Ladakh,0
7,medium,Nature,Goa,0
1,medium,Adventure,Jaipur,0
2,low,Relaxation,Rishikesh,0
6,high,Adventure,Manali,0
8,medium,Relaxation,Manali,0
2,medium,Cultural,Rishikesh,0
4,low,Cultural,Rishikesh,0
7,medium,Adventure,Jaipur,0
7,medium,Nature,Manali,1
4,low,Adventure,Jaipur,0
9,low,Nature,Kerala,1
10,low,Cultural,Kerala,1
4,low,Relaxation,Pondicherry,1
9,low,Nature,Rishikesh,0
2,medium,Cultural,Manali,0
9,high,Nature,Kerala,1
2,medium,Nature,Manali,1
4,medium,Adventure,Goa,0
5,high,Adventure,Jaipur,0
1,medium,Nature,Pondicherry,0
7,high,Nature,Pondicherry,0
2,low,Relaxation,Rishikesh,0
7,medium,Cultural,Rishikesh,0
4,low,Cultural,Pondicherry,0
5,low,Cultural,Pondicherry,0
2,high,Nature,Kerala,1
1,medium,Cultural,Rishikesh,0
7,low,Cultural,Jaipur,1
6,high,Cultural,Kerala,1
3,low,Adventure,Rishikesh,1
9,low,Relaxation,Rishikesh,0
9,high,Nature,Kerala,1
7,medium,Cultural,Goa,0
1,medium,Nature,Rishikesh,0
6,low,Adventure,Goa,0
5,low,Nature,Kerala,1
3,medium,Relaxation,Kerala,0
10,high,Cultural,Jaipur,1
3,medium,Adventure,Goa,0
4,medium,Nature,Jaipur,0
9,high,Nature,Manali,1
4,medium,Adventure,Rishikesh,1
8,medium,Relaxation,Kerala,0
3,high,Relaxation,Pondicherry,1
6,low,Nature,Goa,0
6,low,Relaxation,Manali,0
1,high,Nature,Manali,1
4,high,Cultural,Kerala,1
3,medium,Cultural,Rishikesh,0
